comment,score,hospital,en
คุณหมอที่แผนกอายุรกรรมเป็นกันเอง วินิจฉัยถูกโรครวดเร็ว หมออธิบายละเอียดมาก พนักงานน่ารักดูแลดีแจ้งให้ทราบส่าเป็นคิวที่เท่าไหรคอยแจ้งคนไข้เสมอ รอไม่ค่อยนานเท่าไรแต่ถ้ามาช่วงเย็นคนไข้ก็จะเยอะหมอก็มีน้อยไปหน่อยคะ โดยรวมๆแล้วโอเครคะ สะดวกรวดเร็วดีคะเหมาะกับคนที่ไม่ค่อยอยากรอนานสักเท่าไหร่คะ แต่ติดตรงถ้ามีแลปจะรอผลแลปนานไปคะ,4,Bangkok Hospitol,"Doctor of Medicine at the front friendly. The disease is diagnosed quickly Doctor explains fine Pretty good care of employees notice a smaller jar queue as well informed patient always. Waited a long time coming, but if the patient is cold, but I was a little bit tired. Overall, then it's hard. Quick and easy good for people who do not want to wait much longer here. But if the match has to wait for lab results to a lab for me."
เคยไปรักษาตัวอยู่ที่แผนกจิตรักษ์ แผนกดูแลเรื่องอาการทางจิตของผู้ป่วย พยาบาลทุกคนเข้าใจเนเจอร์ของโรคแต่ละโรคมาก ไม่มีการซ้ำเติม ทุกคนมายเซตดี สัมผัสได้ รักษาตัวแบบแอดมิดอยู่2สัปดาห์ พยาบาลมีการถามตลอด ว่ารู้สึกเป็นยังไง หรือถ้าเห็นเราอาการไม่ดีก็จะมาชวนคุย พยายามช่วยผ่อนคลายเรา ตอนกลางวันจะมีคลาสทำกิจกรรมต่างๆ เป็นกรุ๊ปคลาส มีโยคะ ทำอาหาร คลาสพูดคุยกับนักจิต และอีกหลายอย่าง สำหรับใครที่เครียดๆกังวลใจ ลองไปปรึกษานักจิตวิทยาก่อนได้ หากต้องรักษาด้วยยา จะมีจิตแพทย์ ตรวจและให้ยาแยกต่างหาก /รักนักจิตมาก,5,Bangkok Hospitol,"Been to maintain the spiritual care department. Department of care of psychiatric patients. All nurses understand the nature of the disease each disease. No worsen All sets come with great experience keeping the model Atwood Mid 2 weeks. Hospitals have asked all I feel that If the symptoms do not improve, we'll talk later. We try to help relax Daytime classes activities. Group yoga classes, cooking classes, talk to the psychotherapist. And many more For those who are more serious concerns. Try to consult a psychologist before. If you need medication, check with a psychiatrist and administered separately. / Psychotherapist much love"
บริการดีมาก รวดเร็ว พาแขกคนจีนไปก็มีล่ามจีนแปลให้ดีมาก เลิศ มาก,3,Bangkok Hospitol,Very quick service takes guests to the Chinese people have Chinese interpreters translate to very good quality.
มีการบริการดี คุณหมอมีความรู้ความสามารถมาก และพรักงานทุกคนยิ้มแย้มเป็นกันเอง เป็นการบริการที่มีคุณภาพครับ,4,Bangkok Hospitol,"A good service You are very knowledgeable. May love and everyone is friendly, smiling. A good quality service"
บริการดีมากชัดเจนดีพยาบาลก็พูดดีบุคลากรพูดดีหมดรวมๆดีถึงแม้ค่ารักษาจะแพงแต่ทุกอย่างโอเคหมดไม่ว่าจะเป็นเรื่องห้องพักห้องน้ำสะอาดรักษาเห็นผล,5,Bangkok Hospitol,"Service very good, clear medical personnel say it's a good time as well, even though the treatment is good, but everything is okay ants are a clean-room treatments to see results."
ได้ทำการฝากครรภ์กับร.พ.กรุงเทพ ตั้งแต่ครรภ์แรก ตอนนี้ครรภ์ที่2แล้ว หมอและพยาบาล ให้การรักษาดูแลที่ละเอียดมาก ตอนครรภ์แรกได้ทำการขลิบอวัยวะเพศของลูกชาย คุณหมอผ่าแผลสวยมาก และวันที่คุณหมอนัดเพื่อไปดูแผลผ่า ขณะนั้นนมคัดมากแต่น้ำนมยังไม่ไหล คุณหมอช่วยดูและสอนวิธีนวดเปิดท่อน้ำนม ช่วยให้สามารถให้นมลูกได้ถึงตอนนี้,5,Bangkok Hospitol,"The ANC has done with. May. Bangkok. Since early pregnancy Now the two women and the doctors and nurses provide medical care to elaborate. At first, the child's genital circumcision son. You pretty much cut wounds And the doctor appointments in order to dissect the lesion. While screening the milk, but milk is not flowing. You will see and learn how to open milk ducts massage. Enabling them to breastfeed up to now."
เวลาป่วยชีวิตของเราขึ้นอยู่กับการตัดสินใจของหมอหลายๆครั้งที่เขา รพ. นี้แบบฉุกเฉินหมอก็เวรถ้าไมากล้าตัดสินใจก็จะไม่รีรอที่จะติดต่อกับหมอที่เป็นเจ้าของไข้ที่เรารักษาประจำ,5,Bangkok Hospitol,"Sick time, our lives depend on the decisions of doctors several times that his hospital is an emergency doctor on duty if Ama decision would not hesitate to get in touch with the doctor who owned a fever, we maintain regular basis."
บริการเป็นมิตร ดุจญาติมิตร,5,Bangkok Hospitol,"Service is friendly, like family"
บริการดี รวดเร็ว ยิ้มแย้มแจ่มใส,4,Bangkok Hospitol,"Good service, fast beaming"
เราไปคลอดลูกที่ โรงพยาบาลกรุงเทพ ซอยศูนย์วิจัย 7 ไปนอนได้ก่อน 1 คืน ฟรีค่ะ ดูแลดีมาก ทุกอย่างเหมือนพักอยู่โรงแรม 7 โมงเข้าบล๊อกหลัง 8.20 เราคลอดเสร็จละคะ มาพักต่อที่ห้องพิเศษ เวลาที่อยู่นั่น 3 วัน 2 คืน หมอและพยาบาลดูแลดีมาก ให้คำแนะนำและการช่วยเหลือทุกเรื่องดีค่ะ เราตั้งใจจะให้นมแม่ เขาก็แนะนำการเข้าเต้าได้ดีค่ะ แต่ขอตินิดหนึ่งว่าไม่ควรมาแจกนมผงและสอนวิธีป้อนนมโดยใช้ถ้วย และไม่ควรมายัดเยียดให้อยู่ ร.พ ต่อด้วยเหตุผลว่าเด็กต้องส่องไฟ ทั้งที่ค่าตัวเหลืองเด็กไม่ถึงกับต้องไปส่องไฟ นี่อาจารย์หมอเด็กเลยนะที่มาแนะนำ บางทีก็ควรมีจรรยาบรรณของความเป็นหมอ รู้สึกแย่แค่เรื่องนี้ค่ะ นอกนั้นดีหมด หมอผ่าคลอดเราก็เก่งมาก ผ่าเร็ว แนะนำดูแลดีตลอด ช่วยคุยให้ด้วยกับหมอเด็ก,5,Bangkok Hospitol,"Our birth Bangkok Hospital Soonwijai 7 before going to sleep one night free, I take very good care of everything like staying at the hotel at 7am into blocks after 8:20, we deliver finished anyway. Special guests per room That time is 3 days and 2 nights very good care doctors and nurses. Advise and assist all good. We intend to breastfeed He was advised to breast good. But let's complaint that he should not distribute milk powder and teaching methods using feeding cups. And should not be subjected to the process. The next reason that children need phototherapy. And the kids do not even have to go jaundice phototherapy. Here, professors, doctors recommend that children do. Perhaps you should have a code of conduct for the Doctor. I feel terrible about it, the better off we all doctors cesarean surgery very soon introduce good care. Talk with a doctor to help with the children."
