comment,score,hospital,en
ได้รับการเปลี่ยนข้อเข่าจากคุณหมอณัฐวุฒิข้างเดียว คุณหมอฝีมือดีมากค่ะ แต่ดิฉันมีปัญหาเรื่องเดินทางไปต่างประเทศบ่อยไม่ทราบว่าทางโรงพยาบาลเมื่อผ่าตัดเปลี่ยนอวัยวะให้ลูกค้าแล้วมีการ์ดเรื่องการผ่าตัดให้ลูกค้าติดตัวไว้เหมือนบัตรประชาชนหรือบัตรกรุ๊ฟเลือดไหมค่ะจะได้ง่ายต่อการเดินทางไปต่างประเทศค่ะจะได้ไม่ต้องมาขอเอกสารทุกครั้งที่ไปต่างประเทศ รบกวนรับไว้พิจารณาด้วยนะค่ะ,5,praram-9-hospital,"Get a knee replacement by the doctor Nattawut side. You made very good But I have trouble traveling abroad often do not realize that the hospital when the surgery, organ customers already have a card about the surgery that customers carry a card or cards Blood Group that it would be easier to travel. foreign it would not have to ask for the time to go abroad. Take into consideration interfering with it."
บริการดีมาก พยาบาลพูดจาดี ดูแลดี ให้ความช่วยเหลืออย่างเต็มที่ ที่สำคัญไม่ต้องรอนาน และคุณหมอให้คำแนะนำ และรับฟังปัญหาดีมาก ห้องน้ำสะอาด ค่ารักษาสมเหตุสมผล ดิฉันเคยป่วยแบบกระทันหัน ก็ได้รับการรักษาทันที และยาที่ได้รับมาก็มีคุณภาพมากเช่นกัน เคยรักษาเรื่องกระเพาะอาหาร มีอาการปวดท้องอย่างรุนแรง คุณหมอติดตามอาการดีมาก และนัดตรวจอย่างดี ยาที่ได้รับทานแล้วเห็นผล ขอบคุณค่ะ,5,praram-9-hospital,"Very good service, good nursing care flattering for full support. The key is not to wait And the doctor advised And listen to the very reasonable cost of maintaining a clean bathroom. I've been sick suddenly Was treated immediately And the drug was also much quality as well. I always treat stomach Severe abdominal pain You have a very good track Make an appointment and well The drug has been reviewed to see Thank you."
"จริงก็ไปพระราม9ตลอด เพราะสะดวก สะอาดรวดรวดเร็ว
แต่ล่าสุด ไป หมอบอกเราท้องอืด ยกของหนัก ทั้งที่เรากลับมาเราตั้งครรภ์ 
ก็เอาเราเวอไปเหมือนกัน เราคงท้องอ่อนเลยตรวจฉี่ไม่เจอมั้ง",2,praram-9-hospital,"Truth to Rama 9, as well as fast, convenient, clean, fast.
But the doctors told us last bloating, heavy lifting, and we come back, we are pregnant.
He took us to the same level. We continue to monitor the baby's absolutely not true."
ระบบการให้การรักษามีมาตรฐานสูง พนักงานใส่ใจดี,5,praram-9-hospital,System to maintain a high standard. Good attentive staff
คุณหมอน่ารัก แนะนำ ให้คำปรึกษาดี  เจ้าหน้าที่ยิ้มแย้ม ดูแลเหมือนเราเป็นนางฟ้าเลยค่ะ,5,praram-9-hospital,Doctor's Advice Consulting nice. staff smiling We care like an angel to me.
ได้ตรวจสุขภาพประจำปีที่นี่ทุกๆปี เป็นรพ. เอกชนที่ให้ความสนใจผู้ป่วยที่เข้ามารพ. ชอบด้านประชาสัมพัน inter คอยให้ความช่วยเหลือหลายภาษา เช่น พม่า จีน เป็นต้น และมีหมอที่เชี่ยวชาญหลายๆท่าน โดยรวมถือว่าเป็นรพ. ที่ดีมากระดับหนึ่ง,5,praram-9-hospital,Have annual check here every year as a hospital for the private interests of patients who come to hospital. Like the public relations of inter assist several languages ​​such as Chinese and Burmese doctor who specializes in many people. Overall it was Rp. A very good one
การให้บริการค่อนข้างรวดเร็ว เจ้าหน้าที่ใจดีมาก ชอบมากค่ะ การรักษาก็เป็นไปด้วยดี หายป่วยค่ะ,4,praram-9-hospital,"The service is quite fast Friendly staff, very much like the treatment, it was well healed me."
บริการดี แพทย์มีความเชี่ยวชาญและเอาใจใส่ สถานที่สะอาด สะดวกสบาย แต่ค่าบริการแพง,4,praram-9-hospital,"Good service, medical expert and caring place, clean, comfortable but expensive services."
สถานที่สะอาด รอคิวไม่นานมากนัก,4,praram-9-hospital,"Clean place, not very long queues."
รู้สึกประทับใจในการบริการของทางโรงพยาบาล ไม่ต้องรอคิวนาน ตรวจและแจ้งผลโดยใช้เวลาไม่นาน รวมถึงอาหารที่โรงพยาบาลมีความอร่อย,4,praram-9-hospital,Impressed by the services of the hospital. No waiting time Monitoring and Reporting on time. The hospital food is delicious.
เมื่อวันที่ 31 ธันวาคม 2559 มีอาการแก้มบวมข้างขวาและมีอาการปวดเล็กน้อยไปติดต่อเวชระเบียนเค้าแนะไปหาหมอศัลยกรรมแต่หมอก็ให้ยาแก้ปวดและยาแก้อักเสบมาทานกลับมาบ้านอาการไม่ดีขึ้นเริ่มปวดและแก้มเริ่มบวมมากขึ้นจึงไปหาหมออีกเมื่อวันที่ 3มกรา 2560 ข่าวนี้ให้ไปหาหมอหูคอตาจมูกเมื่อคุณหมอดูแล้วไม่กล้าที่จะทำอะไร เพราะว่าแก้มที่บวมขึ้นเริ่มมีหนองคุณหมอเลยปรึกษากับทันตแพทย์และให้ไปอุลต้าซาวน์และเอ็กซเรย์ปรากฏว่ามีน้องอยู่ข้างในจริงๆ ในวันนั้นจึงได้ส่งให้ทางหมอฟันเป็นผู้จัดการแต่คุณหมอไม่กล้าเจาะหนองเนื่องจากวันนั้นเป็นหมอผู้หญิงหมอเลยติดต่อหมอเฉพาะทางให้ซึ่งตอนนั้นเป็นวันปีใหม่ หมออยู่ต่างจังหวัดกันหมดซึ่งตอนนั้นรู้สึกปวดมากๆจนจะทนไม่ไหวจนกระทั่งเหมือนพระมาโปรดมีหมอเฉพาะทางจะเข้ามาทำให้ จากนั้นรออีก 1 ชั่วโมงหมอได้มาถึงจากนั้นให้ขึ้นเตียงฉีดยาชาเจาะหนองออกเจ็บมากแต่ต้องทนทั้งทั้งที่ฉีดยาชาก็ยังเจ็บหมอบอกว่าทำไมไว้นานน้องออกมาข้นมาก สุดท้ายก็ผ่านไปด้วยดีหมอเก่งมากค่ะรวมทั้งหมดหมออัธยาศัยดีเป็นกันเองแต่ถ้าเลือกได้ไม่จำเป็นจะไม่มาหา จากนั้นคุณหมอก็นัดให้มาล้างแผลอย่างต่อเนื่องอาการดีขึ้นรู้สึกขอบคุณคุณหมอมากๆค่ะที่วันนั้นอุตส่าห์เข้ามารักษาให้ ถ้าวันนั้นคุณหมอไม่เข้ามาเราต้องแย่แน่แน่ประทับใจค่ะ,5,praram-9-hospital,"On December 31, 2559 have the cheek swollen right hand and a slight pain to contact the medical records he proposes to seek a doctor's surgery, but doctors have given painkillers and antibiotics to eat back home, fared no better from pain. cheek began to swell up and went to another doctor on 3 Jan 2560 this news, go to the doctor, ear, nose, throat, eyes on the prophet did not dare to do anything. For the cheeks, swollen with pus began to consult with your doctor and dentist to Ulrika's sound and X-ray showed that I had inside me. In those days, he was sent to the dentist as a manager, but doctors do not dare to penetrate unseen since the day I was a doctor, contact the doctor who was then the only way for the New Year. Doctor provinces out where it feels the pain very well be unbearable, until a priest came to visit a doctor only came to make the wait for one hour, the doctor came, then gave up a double anesthesia puncture pus. but to endure the pain and the hurt that anesthesia is why doctors say it's been a very concentrated. Finally, through the good doctors here are very hospitable, friendly, including all doctors, but if you do not have to come. Then the doctor made an appointment to clean the wound, continuous improvement grateful that the doctor was very careful to keep it. If the doctor does not need to impress me too bad."
แพทย์หญิงสมิตดา คลินิกนักวิ่งทุกวันเสาร์ ให้คำปรึกษาดีมาก,4,praram-9-hospital,Dr. David Smythe Clinical runners Saturday Counseling is great
ดิฉันได้ทำการฝากครรภ์ที่โรงพยาบาลพระรามเก้ากับคุณหมอศุภชัย สมิทธิเมธินทร์ โดยครั้งนี้เป็นการตั้งครรภ์ครั้งแรก เมื่อไปถึงโรงพยาบาลดิฉันพบว่าพนักงานทุกคน ตั้งแต่คุณหมอ พยาบาล ผู้ช่วยพยาบาล ตลอดจนพนักงานทั่วไป มีจิตใจดี มีใจรักบริการ ยิ้มแย้มแจ่มใส คุณหมอได้ตอบข้อสงสัยได้ครบถ้วน กระจ่างชัด ทำให้ดิฉันรู้สึกสบายใจและอบอุ่นที่เลือกที่จะฝากครรภ์ที่นี่ อีกทั้งคุณหมอยังแนะนำการปฏิบัติตัวที่ถูกต้องและจำเป็นต่างๆตลอดเวลาที่ตั้งครรภ์ ทำให้ดิฉันรู้สึกมั่นใจ และไม่วิตกกังวล ส่วนการรอคิวนั้นพยาบาลจะคอยแจ้งเป็นระยะๆว่าเราคิวที่เท่าไหร่ ถึงแม้คนจะเยอะแต่ก็ทำให้เราไม่หงุดหงิดและรู้เวลาในการรอได้ บรรยากาศในโรงพยาบาลทันสมัย มีมุมกาแฟ นำ้ดื่มและขนมไว้คอยบริการ มีบริการเรียกแท๊กซี่ และมีบริการรถตู้รับส่งไปถึงเซ็นทรัลพระรามเก้า การเดินทางค่อนข้างสะดวก เพราะอยู่ใจกลางเมือง เวลาโทรนัดคิวหมอ call center จะทราบทันทีว่าใครโทรเข้ามา เพราะมีประวัติอยู่แล้ว เคยมีครั้งหนึ่งโทรผิดเลยรีบวางสาย แต่ทางโรงพยาบาลก็รีบโทรกลับทันที ถือว่าใส่ใจในรายละเอียดคนไข้มากๆ วันที่ 19 มกราคม 2560 นี้ดิฉันมีนัดผ่าคลอดแล้ว จึงทำให้ดิฉันมั่นใจ และเชื่อมั่นในโรงพยาบาลว่าจะได้รับการดูแลเป็นอย่างดี,5,praram-9-hospital,"I had prenatal care at the hospital with Dr. Supachai Rama. Proficiency methyl Nt This is the first pregnancy. Once at the hospital, I found that every employee. The doctors, nurses, assistant nurses. The staff has a good heart, patriotic service. beaming You have answered the question completely clear, making me feel comfortable and warm, the ANC chose here. The doctor also advised to follow the correct and necessary throughout the pregnancy. Makes me feel confident And do not worry The queues that nurses will report periodically on how much we queue. Although a lot of people are frustrated, but we do not know and have time to wait. The atmosphere in the hospital with a modern coffee drinks and snacks are available. There is a taxi service And provides a shuttle bus to Central Rama IX. The trip is quite convenient The city center Time call queue Doctor call center will immediately know who to call. It is already history Once a call has been wrong so quickly hang up. But the hospital did not immediately return calls. The attention to detail is very patient on January 19, 2560, I had an appointment and caesarean sections. It gave me confidence And confidence in the hospital that will be taken care of as well."
แพทย์และพยาบาล ให้การรักษา ดูแลเอาใจใส่ผู้เปี่ยมอย่างดีเยี่ยม,5,praram-9-hospital,Doctors and nurses provide medical care for the flush well.
ชอบพึ่งเข้าครั้งแรกแต่การบริการดีประทับใจหลายอย่างค่ะคุณหมอก็ใจดีตอนขูดหินปูนเวลาจะหันหัวก็ขอโทษทุกครั้ง ชวนคนไข้คุยตลอดเวลาเป็นกันเอง..แต่ค่าหมออาจจะแพงไปหน่อยค่ะ,5,praram-9-hospital,"I liked him at first, but a good impression too many doctors are good at scaling will turn heads every time they apologized. Talk all the time, hospital stay.. But the doctors could do little expensive."
ครอบครัวผม ส่วนใหญ่พักรักษาพยาบาลอยู่ที่นี่,5,praram-9-hospital,Most of my family is hospitalized here.
โดยส่วนตัวใช้บริการที่นี่มาเป็น 10 ปีแล้ว ชอบในการวินิจฉัยโรคและรักษาได้ดี...ส่วนดีให้ 80% ส่วนไม่ดี 20% ซึ่งเกิดจากบุคลากรในบางส่วนงานค่ะ....แต่เราก็จะใช้บริการกับทาง ร.พ.พระราม 9 ต่อไปนะค่ะ,4,praram-9-hospital,"By using the service here is like 10 years in diagnosis and treatment, well ... some good, some bad, 80%, 20%, which was caused by personnel in some good work .... but we will. service with the Royal Navy. May. 9 Rama to me."
ก้อดีเกือบทุกอย่างแต่เสียอย่างเดียวแพงไปจะนัดอะไรบ่อยๆตรวจนิดเดียวแพงเกินไป,4,praram-9-hospital,"I almost lost everything, but what strikes one is going to check it a little too expensive."
เป็นคนไข้ของที่นี่ บริการดีทุกแผนก ประทับใจมากๆค่ะ,4,praram-9-hospital,The patients here Excellent service all departments Very impressive
ระหว่างนอนพักพื้นที่ห้องส่องกล้อง ไม่แน่ใจว่านั่นคือรพ. หรือตลาด ร้องตะโกนตลอดกันตลอดเวลา คุยกันเสียงดัง แล้วที่แย่ที่สุดพยายาลนินมาผู้ป่วนคนอื่น,2,praram-9-hospital,"During the endoscopy room, rest area. Not sure if that's Hospital. Marketing or shouting at each other. Talk loudly May was the worst drug in the turbulent new to others."
ยอดครับ,5,praram-9-hospital,Top Post
ผมว่านับวันการบริการยิ่งแย่ นี่ผมนั่งคอยนานมาก ตอนนี้ 15.34 นั่งคอยมา จะชั่วโมง แย่มาก ๆ ถ้าบอกลูกค้า คนไข้อย่างผมสักหน่อย ว่า รอสักพัก จะได้ ไปหาอะไรทานก่อน ให้นั่งรอ เหมือนหมา เลย ขอเค้ากินยังไงไม่รู้ รื่องบริการ เรื่องคิวรับยา...,1,praram-9-hospital,"I count on the service even worse. I sat for a long time now 15:34 waiting for the hour is very bad if telling customers, patients like me a little bit of a wait to go get something to eat before you sit like a dog, let him eat, I did not know machine. the service queue drug ..."
เป็นโรงพยาบาลที่ดูแลละเอาใจใส่ผู้ป่วยดีครับ,4,praram-9-hospital,Hospital care is the care of patients well.
ผมมาเป็นสมาชิกของที่นี่นานและ เรื่องสุขภาพเราต้องดีไว้ก่อนครับผม แก่แล้วครับต้องดูแลครับ,4,praram-9-hospital,I came here a long time and is a member of. We need good health before it. You need to take care of it
ได้รับการบริการและดูแลดีมากค่ะ คอยมาถามไถ่ตลอดว่าหิวข้าวมั้ย อยากทานอะไรมั้ย น่ารักที่สุด คุณหมอกรองทิพย์ ก้อมาดูแลดีให้คำปรึกษาที่ดีคอยแนะนำในเรื่องที่เรายังกังวลให้หายกังวลได้เลยค่ะ ขอบคุณน่ะค่ะ,5,praram-9-hospital,Service and care has been very good. He was always asking me hungry. I eat what I love most doctors Krongthip. I care a great mentor that guides us in matters that concern them is a concern to me thanks.
รพ.ทำการซ่อมขุดเจาะทุบรื้ออยุ่ชั้นบน คนไข้ที่อยุ่ชั้น10รับกรรมไปไม่ต้องพักผ่อนเสียงดังมาก จะแก้ไขอย่างไร ไม่มีการแจ้งใดใดทั้งสิ้น และจะดังแบบนี้ไปอีกกี่วันคะ ในเมื่อรพ.รู้อยุ่แล้วจะซ่อมแซมก็ควรให้คนไข้ไปอยุ่ในห้องพักชั้นที่สูงกว่านะคะ,2,praram-9-hospital,"Hospital repair demolition hammer drilling lot upstairs. Yu, 10 patients suffered not need to rest a lot of noise. How to fix No notification whatsoever And this is the next few days here. When in hospital you will repair the pipeline was supposed to go, depending on the patient floor above me."
ดีมากค่ะ,4,praram-9-hospital,Very good
ไปทุกเดือนสดวกสบายบริการดีมาก แพงด้วย,5,praram-9-hospital,"Every month to live comfortable with good service, very expensive."
ปีละครั้ง,4,praram-9-hospital,Yearly
โดยรวมก็ดีนะครับพยาบาลน่ารักให้บริการดี แต่หมอบางท่านแอบดุไปนิดนึง,4,praram-9-hospital,Overall it's a pretty good nurse. But some doctors may feel a little sneak.
การบริการยอดเยี่ยม แพทย์เก่งทุกคน สถานที่สะอาด แล้วก็ไป มาสะดวก เจ้าหน้าที่ดูแลเอาใจไส่คนใข้ดีมาก,5,praram-9-hospital,"Excellent service Doctors do all the cleaning and then to the hotel staff, who aided cricketers feel very good."
หมอประจำตัวแต่ละด้านอยู่ที่นี่เกือบหมด พนักงานเจ้าหน้าที่น่ารักทุกคน,5,praram-9-hospital,Each doctor is almost here. Competent love everyone
คุณหมออนุพงษ์ น่ารักมากค่ะ (หมอหัวใจ) รักษา กันมานานแล้วค่ะ(รักษา อากง-อาม่า)รวมทั้งพยาบาลทุกท่านค่ะ,5,praram-9-hospital,Dr. Anupong cute (heart doctors) maintain it for a long time (treatment. Agong - Arma) including a nurse all.
เคยไปนะครับเพราะตอนนั้นใช้ชีวิตอยู่หน้ารามแต่ตอนนี้ย้ายมาอยู่ลาดพร้าวรางกายแข็งแรงดีเลยไม่ได้ใช้บริการอีก ปล.บริการดีมากครับ,4,praram-9-hospital,"I've been to, because by then, but now lives in front of Wat Lat moved the body healthy but not for more. PS. The service is very good."
แจ้งออกโรงพยาบาล ตั้งแต่10โมงกว่า รอทางโรงพยาบาลมาเคลียร์เรื่องค่าใช้จ่าย ปาไป3 ชม.ละเม่งไม่เห็นมีใครมา ห่วย กูไปโรงพยาบาลอท่นไม่ดีกว่าเรอ 我真心的想說...你媽的什么私人医院...烂死了！人生病也不会建议好的方式...手腳慢...办个出院手續花了三个小時！消費也貴,1,praram-9-hospital,"Inform hospital From 10 am Pending the hospital cleared of charges over a 3 hour per Meng never seen anyone suck me to the hospital in Nottingham, not better scorers.我 真心 的 想說 ... 你 媽 的 什么 私人 医院 ... 烂 死 了! 人 生病 也 不会 建议 好的 方式 ... 手腳 慢 ... 办 个 出院 手續 花 了 三个 小時! 消費 也.貴"
ขอบคุณสถานที่นี้ที่ทำให้ชีวิตดิฉันมีความสุขมีชัวิตดีขึ้นขอบคุณค่ะ..ขอบคุณมาก..มากค่ะ,5,praram-9-hospital,Thanks to this place that makes me happy life prevail Uruguay improved thanks.. I.. Very much.
ดี มีเครื่องดื่มฟรี,5,praram-9-hospital,"Well, there are free drinks"
ดีค่ะ มากๆด้วย การล้างจมูกลูกชายคนเดียว พยาบาล 5 คน,5,praram-9-hospital,Very good with a nasal wash only child care 5.
คุณหมอ และพยาบาลดูแลดีมาก การบริการของ รพ.ก็ดีมากเช่นเดียวกัน,5,praram-9-hospital,"Doctors and nurses take very good care of the hospital, it's much the same."
ประทับใจ หมอมุจลินท์ ที่ได้รับการรักษาโดยบังเอิญ ไม่ได้เจาะจง ให้คำแนะนำ ในการดูแลตัวเอง นัยว่าเพื่อให้ห่างไกลโรค ไม่ได้รักษาเพราะอยากรักษา อยากให้มาบ่อยๆ ประทับใจสุดๆ ตรวจเสร็จรับใบนัดได้หมายเลขเพื่อชำระเงิน เดินถึงหน้าเค้าเตอร์ ก็เรียกชื่อโดยไม่ต้องนั่งรอเลย ทำได้ไงเนี่ย,5,praram-9-hospital,"Mutchalin impressed doctors who treated incidentally does not specifically provide advice on how to care for themselves. Allegedly, the disease so far I would not treat treatment I was impressed most frequently detected strikes have been completed for a number of payment. Walking up to the front counter He called, without waiting for them to do just that."
คุณหมอมีความรู้ ความสามารถ เอาใจใส่คนไข้ดี การรักษาโดยใช้เป็นทีมแพทย์ผู้เชี่ยวชาญเฉพาะในแต่ละด้านและร่วมประสานแผนการรักษากันดี พยาบาลก็เก่งมือเบา คล่องแคล่ว ดูแลเป็นกันเอง หมดห่วงเรื่องป่วยเพื่อคนไข้มาถึงโรงพยาบาลเลย เป็นโรงพยาบาลที่ดีเห็นมีคนไข้หลากหลายเชื้อชาติมาใช้บริการ เป็นแบบอินเตอร์มากขึ้น,5,praram-9-hospital,You have the ability to care for patients as well. Treatment by a medical team specialized in the treatment plan and co-ordinate well. Hospital care was very friendly deft touch lightly. No more worries about ill patient to the hospital. A good hospital to see a patient come to an ethnically diverse. Inter is more
หมอดีอัถยาสัยดีพยาบาลน่ารักเช็กอัปเปิดใหม่อยู่ชั้น8สวยต้อนรับดีเอาใจใส่ลูกค้าเหมีอนครอบครัวได้ข่าวมาคลีกนิกเด็กจะเปิดใหม่สวยเร็วๆนื้,5,praram-9-hospital,"Al doctor if medication disposal a cute nurse check up on the 8th floor, new front pretty good customer care I have heard the family League new boys will open new demolishing pretty soon."
ส่วนตัวคิดว่าที่นี้ดีมากๆ บะคุณหมอที่นี้ประจำคับ ❤️❤️❤️,5,praram-9-hospital,"I think that this is very good. Dr. Chiba, who is stationed just ❤️❤️❤️."
